"bloodhost","replicates"
"Sceloporus_undulatus",1
"Setophaga_citrina",1
"Setophaga_pensylvanica",1
"Setophaga_ruticilla",1
"Setophaga_striata",1
"Sitta_carollinensis",1
"Storeria_dekayi",1
"Tachycineta_bicolor",1
"Taraba_major",1
"Thamnophilus_doliatus",1
"Thryothorus_ludovicianus",1
"Tonatia_bidens",1
"Trachemys_scripta",1
"Trachemys_scripta_elegans",1
"Tyto_alba",1
"Uroderma_bilobatum",1
"Vermivora_celata",1
"Vermivora_pinus",1
"Vireo_solitarius",1
"Zonotrichia_leucophrys",1
