ID	MosquitoSpecies	Landscape	BloodSource_Species	BloodSource_Class1	BloodSource_Class2	BloodSource_Class3	BloodSource_Class4	BloodSource_Order	Lat_dec	Long_dec	Location	Database	StudyType	Title	Year	Author1	Author2	Author3	Author4	InstAut1	InstAut2	InstAut3	InstAut4
Navia-gine2013	Mansonia_indubitans	wild	"Sus_scrofa,Equus_caballus,Bos_taurus,Gallus_gallus"	Mammalia	Aves	NA	NA	"Artiodactyla,Perissodactyla,Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
Navia-gine2013	Mansonia_titillans	wild	"Sus_scrofa,Equus_caballus,Cochlearius_cochlearius,Bos_taurus,Gallus_gallus"	Mammalia	Aves	NA	NA	"Artiodactyla,Perissodactyla,Pelecaniformes,Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
Navia-gine2013	Culex_nigripalpus	wild	"Equus_caballus,Gallus_gallus"	Mammalia	Aves	NA	NA	"Perissodactyla,Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
Navia-gine2013	Psorophora_ferox	wild	"Sus_scrofa,Gallus_gallus"	Mammalia	Aves	NA	NA	"Artiodactyla,Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
Navia-gine2013	Culex_coronator	wild	Bos_taurus	Mammalia	NA	NA	NA	Artyodactyla	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
Navia-gine2013	Anopheles_apicimacula	wild	Equus_caballus	Mammalia	NA	NA	NA	Perissodactyla	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
Navia-gine2013	Anopheles_punctimacula	wild	Bos_taurus	Mammalia	NA	NA	NA	Artiodactyla	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host_interactions_during_and_after_an_outbreak_of_equine_viral_encephalitis_in_eastern_Panama	2013	Navia-Gine	Loaiza	Miller	NA	Smithsonian_Tropical_Research_Institute	Centro_de_Biodiversidad_y_Descubrimiento_de_Drogas_Instituto_de_Investigaciones_Cient_?’ficas_y_Servicios_de_Alta_Tecnolog_?’a_Clayton_Panama_?	Universidad_de_Panam†_	NA
Olson2020	Aedes_aegypti	urban	"Canis_lupus_familiaris,Homo_sapiens_sapiens,Felis_catus,Gallus_gallus_domesticus,Sus_scrofa_domesticus,Ovis_aries,Didelphis_virginiana"	Mammalia	NA	NA	NA	"Carnivora,Primates,Galliformes,Artiodactyla,Didelphimorphia"	26.158934	-97.830089	"Texas,USA;Tamaulipas,Mexico"	Scopus	article	High_rate_of_non-human_feeding_by_aedes_aegypti_reduces_zika_virus_transmission_in_South_Texas	2020	Olson	Ndeffo-Mbah	Juarez	Garcia-Luna	Texas_A&M_University	Texas_A&M_University	Texas_A&M_University	Texas_A&M_University
Olson2020	Culex_quinquefasciatus	urban	"Gallus_gallus_domesticus,Canis_lupus_familiaris,Passer_domesticus,Homo_sapiens_sapiens,Felis_catus,Sus_scrofa,Tyrannus_verticalis,Ortalis_vetula,Toxostoma_curvirostre,Mimuspolyglottos,Columba_livia"	Mammalia	Aves	NA	NA	"Galliformes,Carvinora,Passeriformes,Primates,Artiodactyla,Passeriformes,Galliformes,Columbiformes"	26.158934	-97.830089	"Texas,USA;Tamaulipas,Mexico"	Scopus	article	High_rate_of_non-human_feeding_by_aedes_aegypti_reduces_zika_virus_transmission_in_South_Texas	2020	Olson	Ndeffo-Mbah	Juarez	Garcia-Luna	Texas_A&M_University	Texas_A&M_University	Texas_A&M_University	Texas_A&M_University
Juache-Villagrana2020	Aedes_aegypti	urban	"Canis_lupus_familiaris,Homo_sapiens_sapiens,Felis_catus,Gallus_gallus_domesticus"	Mammalia	Aves	NA	NA	"Carnivora,Primates,Galliformes"	31.774893	-106.555924	"Cd_Juarez,Chihuahua,Mexico"	Scopus	article	Host_selection_of_Aedes_aegypti_and_Culex_quinquefasciatus_females_in_a_semi-desert_environment_in_Northern_Mexico	2020	Juache-Villagrana	Mora-Covarrubias	Escarcega-Avila	Jimenez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez
Juache-Villagrana2020	Culex_quinquefasciatus	urban	"Canis_lupus_familiaris,Homo_sapiens_sapiens,Felis_catus,Gallus_gallus_domesticus,Sus_scrofa_domesticus,Ovis_aries,Anas_platyrhynchos_domesticus,Oryctolagus_cuniculus_domesticus,Meleagris_gallopavo"	Mammalia	Aves	NA	NA	"Carnivora,Primates,Galliformes,Artiodactyla,Anseriformes,Lagormorpha,"	31.774893	-106.555924	"Cd_Juarez,Chihuahua,Mexico"	Scopus	article	Host_selection_of_Aedes_aegypti_and_Culex_quinquefasciatus_females_in_a_semi-desert_environment_in_Northern_Mexico	2020	Juache-Villagrana	Mora-Covarrubias	Escarcega-Avila	Jimenez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez	Universidad_Aut¢noma_de_Ciudad_Ju†rez
Moreno2017	Anopheles_darlingi	urban	"Homo_sapiens_sapiens,Rattus_norvergicus,Galliformes,Canis_lupus_familiaris,Sus_scrofa,Capra_aegagrus_hircus"	Mammalia	Aves	NA	NA	"Primates,Rodentia,Galliformes,Carnivora,Artiodactyla"	-3.743181	-73.326919	"Iquitos,Peru"	Scopus	article	Intensive_trapping_of_blood-fed_Anopheles_darlingi_in_Amazonian_Peru_reveals_unexpectedly_high_proportions_of_avian_blood-meals	2017	Moreno	Saavedra	Bickersmith	Prussing	University_of_California	Universidad_Peruana_Cayetano_Heredia	New_York_State_Department_of_Health	New_York_State_Department_of_Health
Moreno2017	Anopheles_darlingi	urban	"Homo_sapiens_sapiens,Rattus_norvergicus,Galliformes,Canis_lupus_familiaris,Sus_scrofa"	Mammalia	Aves	NA	NA	"Primates,Rodentia,Galliformes,Carvinora,Artiodactyla"	-4.23035	-73.487833	"Iquitos,Peru"	Scopus	article	Intensive_trapping_of_blood-fed_Anopheles_darlingi_in_Amazonian_Peru_reveals_unexpectedly_high_proportions_of_avian_blood-meals	2017	Moreno	Saavedra	Bickersmith	Prussing	University_of_California	Universidad_Peruana_Cayetano_Heredia	New_York_State_Department_of_Health	New_York_State_Department_of_Health
Moreno2017	Anopheles_darlingi	wild	"Homo_sapiens_sapiens,Rattus_norvergicus,Galliformes,Canis_lupus_familiaris,Sus_scrofa,monkey"	Mammalia	Aves	NA	NA	"Primates,Rodentia,Galliformes,Carnivora,Artiodactyla"	-4.198911	-74.215261	"Iquitos,Peru"	Scopus	article	Intensive_trapping_of_blood-fed_Anopheles_darlingi_in_Amazonian_Peru_reveals_unexpectedly_high_proportions_of_avian_blood-meals	2017	Moreno	Saavedra	Bickersmith	Prussing	University_of_California	Universidad_Peruana_Cayetano_Heredia	New_York_State_Department_of_Health	New_York_State_Department_of_Health
Mucci2015	Aedes_scapularis	rural	"primate,bird"	Mammalia	Aves	NA	NA	Primates	-21.5212	-49.3683	"NovoHorizonte,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Psorophora_albigenu	rural	"primate,bird"	Mammalia	Aves	NA	NA	Primates	-21.5212	-49.3683	"NovoHorizonte,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Psorophora_ferox	rural	"primate,bird"	Mammalia	Aves	NA	NA	Primates	-21.5212	-49.3683	"NovoHorizonte,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Aedes_scapularis	rural	"primate,bird,Bos_taurus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla"	-21.4257	-49.5004	"Sales,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
Mucci2015	Aedes_scapularis	rural	"primate,bird,Bos_taurus,Equus_ferus_caballus"	Mammalia	Aves	NA	NA	"Primates,Artiodactyla,Perissodactyla"	-21.2559	-49.8491	"Ubarana,Tiete,Brazil"	Scopus	article	"Feeding_habits_of_mosquitoes_(Diptera:_Culicidae)_in_an_area_of_sylvatic_transmission_of_yellow_fever_in_the_state_of_S∆o_Paulo,_Brazil"	2015	Mucci	Junior	DePaula	Scandar	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil
