ID	MosquitoSpecies	Landscape	Landscape	BloodSourceSpecies	BloodSource_Class	BloodSource_Order	LatN_dec	LongW_dec	Location	Database	StudyType	Title	Year	Author1	Author2	Author3	Author4	Author5	InstAut1	InstAut2	InstAut3	InstAut4	InstAut5		
Navia-gine2013	Mansonia_indubitans	"deforested with scattered patches of secondary forest intermingled with grassland, shrub vegetation and swampy areas."	wild	"Sus_scrofa, Equus_caballus, Bos_taurus, Gallus_gallus"	"Mammalia, Aves"	"Artiodactyla, Perissodactyla, Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host interactions during and after an outbreak of equine viral encephalitis in eastern Panama	2013	"Navia-Gine W.G., "	"Loaiza J.R., "	Miller M.J.	NA	NA	Smithsonian Tropical Research Institute	"Centro de Biodiversidad y Descubrimiento de Drogas, Instituto de Investigaciones Cient ?’ficas y Servicios de Alta Tecnolog ?’a, Clayton, Panama ?,"	Universidad de Panam† 	NA	NA		
Navia-gine2013	Mansonia_titillans	"deforested with scattered patches of secondary forest intermingled with grassland, shrub vegetation and swampy areas."	wild	"Sus_scrofa, Equus_caballus, Cochlearius_cochlearius, Bos_taurus, Gallus_gallus"	"Mammalia, Aves"	"Artiodactyla, Perissodactyla, Pelecaniformes, Galliformes "	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host interactions during and after an outbreak of equine viral encephalitis in eastern Panama	2013	"Navia-Gine W.G., "	"Loaiza J.R., "	Miller M.J.	NA	NA	Smithsonian Tropical Research Institute	"Centro de Biodiversidad y Descubrimiento de Drogas, Instituto de Investigaciones Cient ?’ficas y Servicios de Alta Tecnolog ?’a, Clayton, Panama ?,"	Universidad de Panam† 	NA	NA		
Navia-gine2013	Culex Cx. nigripalpus 	"deforested with scattered patches of secondary forest intermingled with grassland, shrub vegetation and swampy areas."	wild	"Equus_caballus, Gallus_gallus"	"Mammalia, Aves"	"Perissodactyla, Galliformes"	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host interactions during and after an outbreak of equine viral encephalitis in eastern Panama	2013	"Navia-Gine W.G., "	"Loaiza J.R., "	Miller M.J.	NA	NA	Smithsonian Tropical Research Institute	"Centro de Biodiversidad y Descubrimiento de Drogas, Instituto de Investigaciones Cient ?’ficas y Servicios de Alta Tecnolog ?’a, Clayton, Panama ?,"	Universidad de Panam† 	NA	NA		
Navia-gine2013	Psorophora_ferox	"deforested with scattered patches of secondary forest intermingled with grassland, shrub vegetation and swampy areas."	wild	"Sus_scrofa, Gallus_gallus"	"Mammalia, Aves"	"Artiodactyla, Galliformes "	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host interactions during and after an outbreak of equine viral encephalitis in eastern Panama	2013	"Navia-Gine W.G., "	"Loaiza J.R., "	Miller M.J.	NA	NA	Smithsonian Tropical Research Institute	"Centro de Biodiversidad y Descubrimiento de Drogas, Instituto de Investigaciones Cient ?’ficas y Servicios de Alta Tecnolog ?’a, Clayton, Panama ?,"	Universidad de Panam† 	NA	NA		
Navia-gine2013	Culex Cx_coronator	"deforested with scattered patches of secondary forest intermingled with grassland, shrub vegetation and swampy areas."	wild	Bos_taurus	Mammalia	Artyodactyla 	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host interactions during and after an outbreak of equine viral encephalitis in eastern Panama	2013	"Navia-Gine W.G., "	"Loaiza J.R., "	Miller M.J.	NA	NA	Smithsonian Tropical Research Institute	"Centro de Biodiversidad y Descubrimiento de Drogas, Instituto de Investigaciones Cient ?’ficas y Servicios de Alta Tecnolog ?’a, Clayton, Panama ?,"	Universidad de Panam† 	NA	NA		
Navia-gine2013	Culex_Melanoconion.sp	"deforested with scattered patches of secondary forest intermingled with grassland, shrub vegetation and swampy areas."	wild	Oecomys sp.	Mammalia	Rodentia 	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host interactions during and after an outbreak of equine viral encephalitis in eastern Panama	2013	"Navia-Gine W.G., "	"Loaiza J.R., "	Miller M.J.	NA	NA	Smithsonian Tropical Research Institute	"Centro de Biodiversidad y Descubrimiento de Drogas, Instituto de Investigaciones Cient ?’ficas y Servicios de Alta Tecnolog ?’a, Clayton, Panama ?,"	Universidad de Panam† 	NA	NA		
Navia-gine2013	Anopheles_apicimacula	"deforested with scattered patches of secondary forest intermingled with grassland, shrub vegetation and swampy areas."	wild	Equus_caballus	Mammalia	Perissodactyla	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host interactions during and after an outbreak of equine viral encephalitis in eastern Panama	2013	"Navia-Gine W.G., "	"Loaiza J.R., "	Miller M.J.	NA	NA	Smithsonian Tropical Research Institute	"Centro de Biodiversidad y Descubrimiento de Drogas, Instituto de Investigaciones Cient ?’ficas y Servicios de Alta Tecnolog ?’a, Clayton, Panama ?,"	Universidad de Panam† 	NA	NA		
Navia-gine2013	Anopheles_punctimacula	"deforested with scattered patches of secondary forest intermingled with grassland, shrub vegetation and swampy areas."	wild	Bos_taurus 	Mammalia	Artiodactyla	8.361167	-77.940667	Panama	Scopus	article	Mosquito-host interactions during and after an outbreak of equine viral encephalitis in eastern Panama	2013	"Navia-Gine W.G., "	"Loaiza J.R., "	Miller M.J.	NA	NA	Smithsonian Tropical Research Institute	"Centro de Biodiversidad y Descubrimiento de Drogas, Instituto de Investigaciones Cient ?’ficas y Servicios de Alta Tecnolog ?’a, Clayton, Panama ?,"	Universidad de Panam† 	NA	NA		
Olson2020	Aedes_aegypti	urban	urban	"Canis_lupus_familiaris,Homo_sapiens_sapiens,Felis_catus,Gallus_gallus_domesticus,Sus_scrofa_domesticus,Ovis_aries,Didelphis_virginiana"	Mammalia	"Carnivora, Primates, Galliformes, Artiodactyla, Didelphimorphia"	26.158934	-97.830089	"Texas,USA;Tamaulipas,Mexico"	Scopus	article	High rate of non-human feeding by aedes aegypti reduces zika virus transmission in South Texas	2020	"Olson, M.F."	"Ndeffo-Mbah, M.L."	"Juarez, J.G."	"Garc°a-Luna, S."	"Martin E., Borucki M.K., Frank M., Estrada-Franco J.G., Rodr°guez-PÇrez M.A., Fern†ndez-Santos N.A., Molina-Gamboa G.D.J., Aguirre S.D.C., Reyes-Berrones B.D.L., CortÇs-De La Cruz L.J., Garc°a-Barrientos A., Huidobro-Guevara R.E., Brussolo-Ceballos R.M., Ramirez J., Salazar A., Chaves L.F., Badillo-Vargas I.E., Hamer G.L."	Texas_A&M_University	Texas_A&M_University	Texas_A&M_University	Texas_A&M_University	Texas_A&M_University		
Olson2020	Culex_quinquefasciatus	urban	urban	"Gallus_gallus_domesticus,Canis_lupus_familiaris,Passer_domesticus,Homo_sapiens_sapiens,Felis_catus,Sus_scrofa,Tyrannus_verticalis,Ortalis_vetula,Toxostoma_curvirostre,Mimus polyglottos,Columba_livia"	"Mammalia,Aves"	"Galliformes, Carvinora, Passeriformes, Primates, Artiodactyla, Passeriformes, Galliformes, Columbiformes"	26.158934	-97.830089	"Texas,USA;Tamaulipas,Mexico"	Scopus	article	High rate of non-human feeding by aedes aegypti reduces zika virus transmission in South Texas	2020	"Olson, M.F."	"Ndeffo-Mbah, M.L."	"Juarez, J.G."	"Garc°a-Luna, S."	"Martin E., Borucki M.K., Frank M., Estrada-Franco J.G., Rodr°guez-PÇrez M.A., Fern†ndez-Santos N.A., Molina-Gamboa G.D.J., Aguirre S.D.C., Reyes-Berrones B.D.L., CortÇs-De La Cruz L.J., Garc°a-Barrientos A., Huidobro-Guevara R.E., Brussolo-Ceballos R.M., Ramirez J., Salazar A., Chaves L.F., Badillo-Vargas I.E., Hamer G.L."	Texas_A&M_University	Texas_A&M_University	Texas_A&M_University	Texas_A&M_University	Texas_A&M_University		
