ID	MosquitoSpecies	Landscape	Landscape	BloodSourceSpecies	BloodSource_Class	BloodSource_Order	LatN_dec	LongW_dec	Location	Database	StudyType	Title	Year	Author1	Author2	Author3	Author4	Author5	InstAut1	InstAut2	InstAut3	InstAut4	InstAut5		
Mucci2015	Aedes_serratus	forest_secondary_succession	rural	"primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-21.2559	-49.8491	"Ubarana,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Mansonia_humeralis	forest_secondary_succession	rural	"primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-21.2559	-49.8491	"Ubarana,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Wyeomyia_sp.	forest_secondary_succession	rural	"primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-21.2559	-49.8491	"Ubarana,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"primate,bird,Bos_taurus"	"Mammalia,Aves"	"Primates,Artiodactyla "	-21.1043	-50.159	"Buritama,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.8455	-50.7823	"Santo_Antonio_do_Aracangu†,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Artyodactyla, Perissodactyla "	-20.8644	-50.9528	"Pereira_Barreto,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_serratus	forest_secondary_succession	rural	"Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Artyodactyla, Perissodactyla "	-20.8644	-50.9528	"Pereira_Barreto,Tiete,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus"	"Mammalia,Aves"	"Primates,Artiodactyla "	-20.5785	-49.9382	"Sebastianopolis_do_Sul,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_albigenu	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus"	"Mammalia,Aves"	"Primates,Artiodactyla "	-20.5785	-49.9382	"Sebastianopolis_do_Sul,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.507	-50.186	"Valentim_Gentil,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_serratus	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.507	-50.186	"Valentim_Gentil,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_albigenu	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.507	-50.186	"Valentim_Gentil,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_ferox	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.507	-50.186	"Valentim_Gentil,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_serratus	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.4866	-50.3216	"S∆o_Jo∆o_do_Iracema,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_albigenu	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.4866	-50.3216	"S∆o_Jo∆o_do_Iracema,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_terrens	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.4866	-50.3216	"S∆o_Jo∆o_do_Iracema,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.5334	-50.8167	"Marin¢polis,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_albigenu	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.5334	-50.8167	"Marin¢polis,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Mansonia_humeralis	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.5334	-50.8167	"Marin¢polis,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_discrucians	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.5334	-50.8167	"Marin¢polis,Sao_Jose_dos_Dourados,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_serratus	forest_secondary_succession	rural	"primate,bird,Bos_taurus"	"Mammalia,Aves"	"Primates, Artyodactyla"	-20.9344	-48.7917	"Paraiso,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_albigenu	forest_secondary_succession	rural	"primate,bird,Bos_taurus"	"Mammalia,Aves"	"Primates, Artyodactyla"	-20.9344	-48.7917	"Paraiso,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_fulvus	forest_secondary_succession	rural	"primate,bird,Bos_taurus"	"Mammalia,Aves"	"Primates, Artyodactyla"	-20.9344	-48.7917	"Paraiso,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.6725	-49.1281	"Guapiacu,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_ferox	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.6725	-49.1281	"Guapiacu,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_albigenu	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.5014	-49.2113	"Nova_Granada,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Mansonia_titillans	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.5014	-49.2113	"Nova_Granada,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Coquillettidia_venezuelensis	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus"	"Mammalia,Aves"	"Primates,Artiodactyla, Perissodactyla"	-20.5014	-49.2113	"Nova_Granada,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_albigenu	forest_secondary_succession	rural	"primate,bird,Bos_taurus"	"Mammalia,Aves"	"Primates, Ariodactyla "	-20.2163	-49.5429	"Palestina1,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus,Rattus_norvergicus"	"Mammalia,Aves"	"Primates, Artiodactyla, Perissodactyla, Rodentia"	-20.2961	-49.6348	"Palestina2,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_serratus	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus,Rattus_norvergicus"	"Mammalia,Aves"	"Primates, Artiodactyla, Perissodactyla, Rodentia"	-20.2961	-49.6348	"Palestina2,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Psorophora_albigenu	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus,Rattus_norvergicus"	"Mammalia,Aves"	"Primates, Artiodactyla, Perissodactyla, Rodentia"	-20.2961	-49.6348	"Palestina2,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_scapularis	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus,Rattus_norvergicus"	"Mammalia,Aves"	"Primates, Artiodactyla, Perissodactyla, Rodentia"	-20.2013	-49.6794	"Americo_de_Campos,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Haemagogus_janthinomys/capricornii	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus,Rattus_norvergicus"	"Mammalia,Aves"	"Primates, Artiodactyla, Perissodactyla, Rodentia"	-20.2013	-49.6794	"Americo_de_Campos,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
Mucci2015	Aedes_serratus	forest_secondary_succession	rural	"primate,non-human-primate,bird,Bos_taurus,Equus_ferus_caballus,Rattus_norvergicus"	"Mammalia,Aves"	"Primates, Artiodactyla, Perissodactyla, Rodentia"	-20.2013	-49.6794	"Americo_de_Campos,Turvo-Grande,Brazil"	Scopus	article	"Feeding habits of mosquitoes (Diptera: Culicidae) in an area of sylvatic transmission of yellow fever in the state of S∆o Paulo, Brazil"	2015	Mucci L.F.	J£nior R.P.C.	de Paula M.B.	Scandar S.A.S.	"Pacchioni M.L., Fernandes A., Consales C.A."	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil	University_of_Sao_Paulo	State_Health_Secretariat_Sao_Paulo_Brazil	State_Health_Secretariat_Sao_Paulo_Brazil		
